Name,Weights Evolution,Objective Function Values Evolution,Accuracy Evolution
ADAM200-ZZFeature1-RealAmplitudes1,"[array([0.42379068, 0.69985485, 0.91902511, 0.49151814, 0.0095018 ,
       0.65485131, 0.74582841, 0.9143572 ])]",[153.34174180868283],[0.37777777777777777]
ADAM200-ZZFeature2-RealAmplitudes1,"[array([0.13114761, 0.39024552, 0.7418579 , 0.69214159, 0.1002682 ,
       1.15526558, 0.69822253, 0.2744169 ])]",[196.88174844596963],[0.13333333333333333]
ADAM200-ZZFeature4-RealAmplitudes1,"[array([ 0.54659063,  0.20797948,  0.37167965,  0.51568678, -0.14935367,
        0.59327301,  0.84339211,  0.24108494])]",[139.89501399824402],[0.5111111111111111]
ADAM200-ZZFeature1-RealAmplitudes2,"[array([0.1140318 , 0.80621061, 0.98584665, 0.38090974, 0.79456881,
       0.43580274, 0.81149042, 0.19776651, 0.8169861 , 0.1361652 ,
       1.00536908, 0.78592714])]",[152.12474049493707],[0.4444444444444444]
ADAM200-ZZFeature2-RealAmplitudes2,"[array([ 0.2095713 ,  0.84999934,  0.99040015,  0.42244267,  0.17983798,
        0.00969472, -0.16514871,  0.05773062, -0.1372005 ,  0.62226413,
        0.70044641,  0.32302712])]",[116.61404976709072],[0.7777777777777778]
ADAM200-ZZFeature4-RealAmplitudes2,"[array([0.31190849, 0.33560541, 0.47845712, 0.75540546, 0.4611892 ,
       0.52784804, 1.02348664, 0.3552322 , 0.47080683, 0.9283319 ,
       0.8324241 , 0.7281022 ])]",[156.81739222246637],[0.4]
ADAM200-ZZFeature1-RealAmplitudes4,"[array([0.5999073 , 0.35534031, 0.47496693, 0.66163971, 0.53219243,
       0.61195409, 0.96253006, 0.48420665, 0.57216308, 0.3142758 ,
       1.09750418, 0.67346213, 0.61833964, 1.14045706, 0.45320472,
       0.53441475, 0.12681989, 0.74348429, 0.13455161, 0.30600471])]",[128.9278000957656],[0.6666666666666666]
ADAM200-ZZFeature2-RealAmplitudes4,"[array([ 0.90443363, -0.04381704, -0.04871533, -0.00894389,  0.31756601,
        1.13217498,  0.50932161,  0.11854523, -0.05616742,  0.34716806,
        0.21835   ,  0.1381508 ,  0.69214376,  0.43723452, -0.05242502,
        0.85554879, -0.16368269, -0.15739105, -0.06072411,  0.94408281])]",[125.84131156304338],[0.6222222222222222]
ADAM200-ZZFeature4-RealAmplitudes4,"[array([ 0.37640118,  0.33836807, -0.07419559,  1.03617383, -0.01910413,
        0.28680549,  0.47884927,  1.11006439,  0.03712471,  0.55734056,
       -0.14109841,  0.32683441,  0.50684871,  0.57927614,  0.60668126,
        0.5768342 ,  0.62059088,  0.54239752, -0.04102053,  0.56756307])]",[124.19751812260074],[0.7555555555555555]
